Gen,NbVert,T_Min,T_Avg,T_Max,V_Min,V_Avg,V_Max,T_mutat,T_eval,T_valid,T_total
0,1030,-43.38,-12.98,-5.91,-28.30,-7.96,-5.81,0.26,0.87,0.11,1.24
1,1064,-43.59,-11.00,-5.81,-26.70,-7.55,-5.64,1.16,0.89,0.16,3.45
2,1091,-42.75,-8.85,-3.15,-20.99,-7.24,-5.60,1.15,1.04,0.22,5.85
3,1095,-43.73,-9.65,-5.18,-17.61,-7.11,-3.82,1.56,0.76,0.25,8.42
4,1093,-35.37,-8.80,-4.85,-24.54,-6.89,-3.84,0.98,0.96,0.24,10.61
5,1080,-43.11,-8.06,-4.35,-38.70,-7.31,-4.35,1.25,0.99,0.25,13.10
6,1101,-38.01,-8.08,-2.77,-23.69,-6.05,-3.14,1.61,0.85,0.24,15.80
7,1100,-41.35,-7.88,-0.67,-32.03,-6.27,-3.19,1.56,0.73,0.34,18.43
8,1090,-43.30,-7.76,-3.37,-27.91,-5.03,-1.08,1.34,1.31,0.25,21.33
9,1095,-36.99,-8.26,-4.11,-24.19,-6.15,-4.14,1.25,1.25,0.24,24.07
10,1093,-42.01,-6.54,1.98,-32.59,-7.19,-3.87,1.48,0.84,0.35,26.75
11,1089,-38.48,-8.23,-1.20,-15.74,-5.73,-4.09,1.12,0.88,0.46,29.21
12,1086,-39.46,-7.20,-1.19,-20.20,-5.62,-1.52,1.03,1.19,0.37,31.79
13,1092,-43.92,-8.00,-2.40,-20.85,-4.70,-1.12,1.00,1.26,0.31,34.36
14,1100,-46.91,-9.58,-3.27,-12.42,-5.23,-3.46,1.47,1.02,0.25,37.11
15,1108,-37.21,-7.93,-3.86,-29.47,-5.45,-0.61,1.62,0.84,0.30,39.87
16,1095,-43.19,-7.28,-0.43,-22.33,-5.28,-3.05,1.71,1.05,0.45,43.07
17,1102,-44.02,-6.75,7.29,-39.34,-3.89,9.49,1.43,1.23,0.24,45.97
18,1094,-43.70,-8.48,3.74,-15.75,-4.97,0.47,1.54,0.95,0.42,48.88
19,1102,-43.19,-8.08,2.99,-24.52,-3.47,2.77,1.31,1.09,0.48,51.76
20,1109,-42.02,-8.08,2.79,-13.69,-4.07,2.39,1.26,1.42,0.31,54.75
21,1098,-41.58,-7.71,1.72,-36.60,-1.71,4.79,1.50,1.05,0.49,57.79
22,1091,-34.05,-6.64,1.47,-27.41,-1.02,4.73,1.08,1.34,0.42,60.63
23,1102,-43.39,-6.97,2.30,-22.83,-2.88,2.27,1.17,1.49,0.42,63.72
24,1108,-32.48,-6.62,1.33,-17.17,-2.69,2.22,1.40,1.52,0.47,67.11
25,1110,-36.70,-5.83,2.34,-15.08,-3.46,2.33,1.39,1.87,0.50,70.88
26,1099,-33.69,-4.77,2.22,-23.69,0.63,2.39,1.63,1.87,0.42,74.80
27,1100,-39.37,-5.43,2.51,-17.79,0.06,2.30,1.68,1.74,0.68,78.90
28,1095,-36.35,-3.74,4.76,-45.32,4.70,7.47,1.36,1.84,0.42,82.53
29,1103,-42.21,-4.61,3.57,-16.41,1.42,4.97,1.53,1.71,0.38,86.15
30,1104,-38.04,-2.50,5.03,-32.78,0.40,2.57,1.21,1.97,0.46,89.79
31,1101,-38.75,-4.13,3.37,-31.81,1.09,2.66,1.45,2.07,0.40,93.72
32,1109,-44.39,-0.56,7.41,-20.84,3.45,5.12,1.45,1.67,0.33,97.16
33,1116,-35.98,1.25,7.35,-13.08,5.80,7.33,1.94,2.19,0.51,101.79
34,1103,-43.12,-2.18,5.45,-15.76,1.41,2.59,1.40,2.02,0.37,105.59
35,1110,-38.09,1.79,7.35,-28.90,2.90,4.90,1.57,1.67,0.51,109.34
36,1109,-42.49,-1.79,4.91,-34.46,-0.95,4.58,1.44,2.21,0.45,113.44
37,1106,-44.77,-2.40,5.02,-32.77,-0.52,2.40,1.74,1.74,0.80,117.73
38,1122,-38.22,-1.37,4.77,-28.94,-0.37,2.15,1.54,2.01,0.58,121.86
39,1109,-41.19,0.38,5.97,-30.26,1.09,2.69,1.23,2.12,0.44,125.65
40,1113,-42.35,0.89,6.03,-30.96,0.93,2.68,1.33,2.17,0.63,129.77
41,1121,-35.60,-2.20,4.10,-27.71,-1.07,2.31,1.34,2.56,0.50,134.17
42,1106,-39.58,2.78,7.48,-21.95,1.10,4.77,1.78,2.01,0.72,138.68
43,1120,-40.82,-2.36,4.99,-9.52,1.75,2.70,2.03,2.68,0.56,143.95
44,1114,-41.44,-1.48,5.09,-23.64,6.44,7.39,1.72,2.53,0.55,148.75
45,1110,-36.64,3.29,7.36,-8.20,1.71,2.61,1.73,2.42,0.80,153.69
46,1110,-40.73,-1.46,5.30,-15.75,0.24,2.13,1.18,2.52,0.66,158.06
47,1106,-33.91,0.30,5.84,-24.15,2.02,4.97,1.43,2.87,0.51,162.87
48,1103,-34.94,-2.06,5.01,-9.15,0.42,2.58,1.51,2.65,0.45,167.48
49,1107,-40.98,0.68,5.10,-2.02,2.13,2.81,1.57,2.12,0.81,171.98
50,1121,-34.97,-0.12,5.01,0.24,4.03,4.99,1.33,2.63,0.93,176.87
51,1119,-36.33,0.15,5.17,-5.33,1.36,2.68,1.26,2.57,0.90,181.59
52,1107,-41.41,1.29,5.15,1.28,4.75,5.16,1.21,2.25,0.44,185.48
53,1119,-42.40,-1.41,4.94,-4.07,-0.09,2.53,1.58,2.58,0.69,190.33
54,1116,-41.02,-0.85,4.46,-1.95,0.45,2.54,1.63,2.73,0.52,195.22
55,1115,-43.64,-1.47,3.88,0.04,3.91,4.94,1.47,3.05,0.47,200.20
56,1111,-35.47,0.17,5.00,-3.56,3.83,4.97,1.60,2.80,0.54,205.14
57,1111,-40.88,-1.76,4.45,-1.21,6.78,7.29,1.60,2.31,0.78,209.83
58,1116,-43.25,-1.44,4.09,-0.70,0.57,2.44,1.73,2.62,0.59,214.78
59,1111,-51.13,-0.82,3.82,-0.20,2.38,2.83,1.70,2.52,0.75,219.75
60,1114,-34.36,-1.22,3.65,2.96,4.70,5.12,1.21,2.78,0.86,224.59
61,1122,-38.86,-1.53,3.26,0.90,3.02,4.96,1.23,2.73,0.83,229.39
62,1114,-35.87,-0.19,4.92,-4.23,0.68,2.61,1.26,2.83,0.56,234.04
63,1109,-44.15,1.17,7.47,-5.61,1.06,2.65,1.60,2.39,0.81,238.85
64,1114,-34.95,2.72,7.41,-36.74,6.47,7.34,1.11,2.52,0.55,243.04
65,1106,-41.04,-0.63,5.13,-29.53,1.90,2.80,1.43,2.53,0.53,247.53
66,1108,-40.58,-1.10,5.85,-26.71,1.82,2.63,1.28,2.56,0.87,252.24
67,1113,-43.06,5.31,9.80,-20.63,-2.02,2.16,1.43,2.53,0.77,256.97
68,1106,-40.67,1.84,7.34,-30.69,-0.89,2.18,1.04,2.85,0.49,261.35
69,1104,-40.23,-0.59,6.23,-34.60,4.70,7.12,1.41,2.48,0.59,265.83
70,1107,-40.65,3.55,8.43,-15.46,2.04,2.76,1.36,2.82,0.87,270.88
