Gen,NbVert,T_Min,T_Avg,T_Max,V_Min,V_Avg,V_Max,T_mutat,T_eval,T_valid,T_total
0,1030,-43.38,-12.98,-5.91,-28.30,-7.96,-5.81,0.26,1.07,0.17,1.50
1,1064,-43.59,-11.00,-5.81,-26.70,-7.55,-5.64,1.05,0.98,0.17,3.70
2,1091,-42.75,-8.85,-3.15,-20.99,-7.24,-5.60,1.23,1.01,0.19,6.14
3,1095,-43.73,-9.65,-5.18,-17.61,-7.11,-3.82,1.57,0.85,0.25,8.81
4,1093,-35.37,-8.80,-4.85,-24.54,-6.89,-3.84,0.96,0.72,0.33,10.83
5,1080,-43.11,-8.06,-4.35,-38.70,-7.31,-4.35,1.26,0.85,0.36,13.30
6,1101,-38.01,-8.08,-2.77,-23.69,-6.05,-3.14,1.41,1.11,0.27,16.09
7,1100,-41.35,-7.88,-0.67,-32.03,-6.27,-3.19,1.45,0.99,0.25,18.78
8,1090,-43.30,-7.76,-3.37,-27.91,-5.03,-1.08,1.58,0.80,0.26,21.42
9,1095,-36.99,-8.26,-4.11,-24.19,-6.15,-4.14,1.53,0.91,0.40,24.26
10,1093,-42.01,-6.54,1.98,-32.59,-7.19,-3.87,1.09,0.99,0.48,26.82
11,1089,-38.48,-8.23,-1.20,-15.74,-5.73,-4.09,0.91,1.00,0.48,29.20
12,1086,-39.46,-7.20,-1.19,-20.20,-5.62,-1.52,0.92,1.32,0.26,31.69
13,1092,-43.92,-8.00,-2.40,-20.85,-4.70,-1.12,1.10,1.32,0.33,34.45
14,1100,-46.91,-9.58,-3.27,-12.42,-5.23,-3.46,1.41,1.08,0.31,37.25
15,1108,-37.21,-7.93,-3.86,-29.47,-5.45,-0.61,1.72,0.87,0.28,40.12
16,1095,-43.19,-7.28,-0.43,-22.33,-5.28,-3.05,1.76,0.88,0.25,43.01
17,1102,-44.02,-6.75,7.29,-39.34,-3.89,9.49,1.78,1.02,0.46,46.26
18,1094,-43.70,-8.48,3.74,-15.75,-4.97,0.47,1.17,1.36,0.34,49.13
19,1102,-43.19,-8.08,2.99,-24.52,-3.47,2.77,1.59,1.11,0.36,52.20
20,1109,-42.02,-8.08,2.79,-13.69,-4.07,2.39,1.55,1.17,0.49,55.41
21,1098,-41.58,-7.71,1.72,-36.60,-1.71,4.79,1.16,1.47,0.28,58.32
22,1091,-34.05,-6.64,1.47,-27.41,-1.02,4.73,1.31,1.23,0.29,61.14
23,1102,-43.39,-6.97,2.30,-22.83,-2.88,2.27,1.39,1.35,0.33,64.21
24,1108,-32.48,-6.62,1.33,-17.17,-2.69,2.22,1.52,1.70,0.45,67.89
25,1110,-36.70,-5.83,2.34,-15.08,-3.46,2.33,1.24,1.77,0.43,71.33
26,1099,-33.69,-4.77,2.22,-23.69,0.63,2.39,1.63,1.91,0.41,75.28
27,1100,-39.37,-5.43,2.51,-17.79,0.06,2.30,1.60,1.52,0.42,78.82
28,1095,-36.35,-3.74,4.76,-45.32,4.70,7.47,1.33,2.08,0.33,82.55
29,1103,-42.21,-4.61,3.57,-16.41,1.42,4.97,1.70,1.49,0.38,86.11
30,1104,-38.04,-2.50,5.03,-32.78,0.40,2.57,1.46,1.57,0.71,89.85
31,1101,-38.75,-4.13,3.37,-31.81,1.09,2.66,1.26,2.03,0.34,93.49
32,1109,-44.39,-0.56,7.41,-20.84,3.45,5.12,1.68,2.01,0.42,97.60
33,1116,-35.98,1.25,7.35,-13.08,5.80,7.33,1.89,1.56,0.60,101.64
34,1103,-43.12,-2.18,5.45,-15.76,1.41,2.59,1.14,2.27,0.44,105.50
35,1110,-38.09,1.79,7.35,-28.90,2.90,4.90,1.91,1.41,0.54,109.36
36,1109,-42.49,-1.79,4.91,-34.46,-0.95,4.58,1.41,2.30,0.42,113.50
37,1106,-44.77,-2.40,5.02,-32.77,-0.52,2.40,1.78,2.27,0.48,118.03
38,1122,-38.22,-1.37,4.77,-28.94,-0.37,2.15,1.57,2.54,0.50,122.64
39,1109,-41.19,0.38,5.97,-30.26,1.09,2.69,1.40,1.95,0.73,126.72
40,1113,-42.35,0.89,6.03,-30.96,0.93,2.68,1.36,2.31,0.44,130.82
41,1121,-35.60,-2.20,4.10,-27.71,-1.07,2.31,1.33,2.45,0.50,135.10
42,1106,-39.58,2.78,7.48,-21.95,1.10,4.77,1.82,2.34,0.52,139.78
43,1120,-40.82,-2.36,4.99,-9.52,1.75,2.70,1.90,2.16,0.94,144.78
44,1114,-41.44,-1.48,5.09,-23.64,6.44,7.39,1.41,2.44,0.64,149.28
45,1110,-36.64,3.29,7.36,-8.20,1.71,2.61,1.71,2.55,0.62,154.17
46,1110,-40.73,-1.46,5.30,-15.75,0.24,2.13,1.51,2.67,0.53,158.87
47,1106,-33.91,0.30,5.84,-24.15,2.02,4.97,1.50,2.54,0.72,163.64
48,1103,-34.94,-2.06,5.01,-9.15,0.42,2.58,1.14,2.56,0.90,168.23
49,1107,-40.98,0.68,5.10,-2.02,2.13,2.81,1.20,2.46,0.51,172.41
50,1121,-34.97,-0.12,5.01,0.24,4.03,4.99,1.57,2.77,0.48,177.23
51,1119,-36.33,0.15,5.17,-5.33,1.36,2.68,1.46,2.14,0.59,181.42
52,1107,-41.41,1.29,5.15,1.28,4.75,5.16,1.52,2.55,0.42,185.92
53,1119,-42.40,-1.41,4.94,-4.07,-0.09,2.53,1.46,2.39,0.87,190.64
54,1116,-41.02,-0.85,4.46,-1.95,0.45,2.54,1.20,2.65,0.66,195.14
55,1115,-43.64,-1.47,3.88,0.04,3.91,4.94,1.13,2.69,0.52,199.48
56,1111,-35.47,0.17,5.00,-3.56,3.83,4.97,1.31,2.73,0.65,204.17
57,1111,-40.88,-1.76,4.45,-1.21,6.78,7.29,1.09,2.62,0.50,208.39
58,1116,-43.25,-1.44,4.09,-0.70,0.57,2.44,1.78,2.66,0.44,213.27
59,1111,-51.13,-0.82,3.82,-0.20,2.38,2.83,1.61,2.55,0.56,217.98
60,1114,-34.36,-1.22,3.65,2.96,4.70,5.12,1.19,2.62,0.49,222.29
61,1122,-38.86,-1.53,3.26,0.90,3.02,4.96,1.53,2.81,0.54,227.17
62,1114,-35.87,-0.19,4.92,-4.23,0.68,2.61,1.42,2.72,0.88,232.19
63,1109,-44.15,1.17,7.47,-5.61,1.06,2.65,1.22,2.60,0.56,236.57
64,1114,-34.95,2.72,7.41,-36.74,6.47,7.34,1.44,2.32,0.58,240.91
65,1106,-41.04,-0.63,5.13,-29.53,1.90,2.80,1.09,2.82,0.96,245.79
66,1108,-40.58,-1.10,5.85,-26.71,1.82,2.63,1.06,2.86,0.54,250.26
67,1113,-43.06,5.31,9.80,-20.63,-2.02,2.16,1.66,2.73,0.60,255.24
68,1106,-40.67,1.84,7.34,-30.69,-0.89,2.18,1.11,2.77,0.90,260.03
69,1104,-40.23,-0.59,6.23,-34.60,4.70,7.12,0.73,2.86,0.50,264.12
70,1107,-40.65,3.55,8.43,-15.46,2.04,2.76,1.62,2.89,0.49,269.12
71,1108,-37.54,1.84,7.33,-2.77,1.78,2.66,1.34,2.61,0.93,274.01
72,1105,-34.35,0.08,6.43,1.88,4.11,4.97,0.96,2.81,0.69,278.46
73,1100,-34.96,2.21,6.58,-13.53,6.91,7.51,1.29,2.80,0.45,282.99
74,1115,-36.44,1.15,6.44,-8.71,1.98,2.73,1.45,3.01,0.54,287.98
75,1115,-42.43,-0.04,5.63,-7.40,4.79,5.21,1.54,2.72,0.82,293.06
76,1114,-39.73,4.17,7.47,-20.22,1.94,2.52,1.15,2.58,0.64,297.44
77,1115,-40.48,4.11,7.40,-33.22,6.88,7.46,1.34,2.84,0.53,302.15
78,1121,-40.14,-1.41,5.70,-34.61,4.58,5.15,1.42,3.88,0.44,307.89
79,1115,-34.24,-2.55,4.50,-20.41,2.29,2.64,1.49,3.63,0.55,313.55
80,1126,-35.78,-1.29,5.11,-35.75,2.10,2.70,1.21,3.58,0.58,318.92
81,1113,-40.31,-0.78,5.83,-36.43,2.30,2.80,1.08,3.04,0.90,323.94
82,1130,-40.13,0.27,5.01,-42.06,2.43,2.87,1.09,2.98,0.70,328.71
83,1115,-42.97,2.38,6.29,4.69,7.06,7.35,1.46,2.91,0.56,333.64
84,1121,-43.71,-0.06,3.88,1.17,2.96,3.09,1.18,3.19,1.05,339.06
85,1118,-36.20,3.09,7.35,1.23,2.53,2.82,1.26,3.50,0.71,344.53
86,1124,-42.40,0.31,4.95,-3.81,2.42,2.69,0.79,3.10,0.49,348.90
87,1134,-35.94,2.07,6.11,-26.30,2.21,2.70,1.40,3.19,0.66,354.14
88,1126,-39.72,4.49,7.50,2.95,4.83,5.03,0.95,2.82,0.49,358.40
89,1123,-34.15,0.86,5.10,-1.46,0.49,0.59,1.39,3.26,0.55,363.60
90,1126,-35.43,2.73,6.26,2.14,4.84,5.14,1.55,2.92,0.55,368.61
91,1131,-39.01,0.58,5.16,-1.45,0.59,0.73,1.06,3.02,1.11,373.81
92,1121,-42.51,0.14,5.11,3.54,4.93,5.03,1.44,2.95,0.69,378.89
93,1119,-44.49,0.39,4.50,5.01,7.31,7.45,1.30,3.21,0.47,383.86
94,1121,-43.03,0.18,4.49,0.53,2.51,2.77,1.44,3.20,0.59,389.09
95,1119,-38.73,4.50,7.50,0.37,0.61,0.67,1.44,2.90,0.67,394.09
96,1122,-42.94,1.85,6.26,4.69,4.86,4.93,1.42,3.14,0.69,399.35
97,1117,-36.33,-0.83,4.39,1.42,4.93,5.05,1.17,3.50,0.89,404.91
98,1122,-38.87,0.53,5.06,3.66,4.79,4.94,0.72,3.27,0.55,409.46
99,1119,-36.33,2.81,7.32,2.06,2.57,2.72,1.61,3.37,0.47,414.91
100,1128,-42.40,0.02,5.23,4.86,5.04,5.06,0.97,2.98,0.67,419.52
101,1130,-43.37,4.10,7.26,-0.70,2.57,2.79,1.26,3.19,0.54,424.52
102,1133,-42.49,2.01,6.14,-0.17,4.96,5.11,1.29,2.98,0.94,429.73
103,1128,-31.72,-1.05,4.94,-0.07,4.89,5.06,0.81,3.45,0.57,434.55
104,1121,-39.71,0.10,5.15,3.31,6.83,7.38,1.46,3.11,0.56,439.69
105,1126,-36.12,0.66,5.13,-11.48,2.05,2.69,1.58,2.99,0.80,445.05
106,1138,-43.66,0.14,9.53,-9.10,2.06,2.79,0.81,3.35,0.72,449.93
107,1129,-42.26,-0.22,5.15,0.30,4.68,5.17,1.32,3.08,0.53,454.86
108,1128,-42.35,-0.32,5.82,-1.56,4.75,7.21,1.52,3.09,0.62,460.09
109,1133,-35.20,-0.21,5.41,2.52,6.48,7.45,1.23,4.14,0.67,466.12
110,1119,-40.00,-1.03,4.57,-0.29,2.34,2.87,1.11,3.50,0.82,471.56
111,1124,-35.77,-1.54,3.74,0.34,2.01,2.80,1.21,3.41,0.95,477.13
112,1121,-39.23,-1.08,3.67,-42.55,4.52,7.33,1.18,3.57,0.86,482.74
113,1118,-41.34,-0.04,4.92,-2.57,1.86,2.72,1.17,3.88,0.88,488.68
114,1124,-39.32,2.37,7.27,-39.80,4.28,5.09,1.04,3.20,0.72,493.64
115,1134,-37.47,-0.34,4.79,-36.94,2.14,2.84,1.30,3.32,0.59,498.85
116,1122,-42.85,-1.10,4.59,-29.03,2.23,2.73,1.36,3.93,0.62,504.76
117,1122,-35.14,-1.25,3.82,-33.23,2.16,2.82,1.28,3.62,0.63,510.30
118,1118,-43.72,2.43,5.17,-17.21,4.56,5.11,1.36,3.35,0.95,515.96
119,1127,-42.43,2.20,5.16,-9.44,-0.45,2.71,1.29,3.25,1.07,521.57
120,1132,-34.97,0.74,4.34,-21.26,7.02,7.34,1.07,3.43,0.51,526.59
121,1126,-43.81,4.27,7.44,-28.36,3.33,5.06,1.69,3.10,0.52,531.90
122,1118,-35.69,1.59,6.25,2.95,7.18,7.50,1.24,4.15,0.59,537.88
123,1120,-43.39,0.52,5.12,1.03,4.28,5.10,1.22,3.58,0.92,543.60
124,1116,-44.77,4.88,7.51,-1.61,2.62,2.84,1.04,3.23,0.69,548.57
125,1130,-42.27,0.48,5.19,-2.12,2.46,2.66,1.58,3.71,0.65,554.50
126,1140,-41.47,2.88,6.31,-35.14,6.96,7.35,1.72,3.90,1.16,561.28
127,1131,-34.58,0.35,5.12,-28.91,4.50,4.95,1.36,4.06,0.78,567.48
128,1131,-27.99,0.97,5.20,-37.66,2.47,2.82,1.27,3.83,0.71,573.29
129,1127,-23.86,1.13,5.04,-38.68,7.13,7.51,1.31,4.10,0.63,579.33
130,1125,-33.32,1.04,4.40,-35.17,4.74,5.19,1.27,4.03,0.69,585.32
131,1127,-44.48,0.49,4.87,-43.30,4.71,5.14,1.34,4.50,0.54,591.71
132,1126,-38.07,3.11,5.17,-23.15,2.15,2.57,1.67,3.82,0.58,597.78
133,1135,-34.63,5.17,7.48,2.26,4.90,5.18,1.60,3.77,0.63,603.78
134,1141,-39.88,2.47,6.30,-3.15,4.96,5.12,1.26,3.84,0.68,609.55
135,1134,-39.22,0.75,5.10,-16.21,2.17,2.70,1.18,3.76,0.87,615.36
136,1133,-32.56,0.84,5.15,-10.94,2.14,2.76,1.11,3.69,0.93,621.09
137,1122,-42.24,2.49,6.29,-23.80,2.43,2.81,1.11,3.62,0.53,626.35
138,1124,-43.91,0.10,5.10,-37.09,1.96,2.78,1.80,3.56,0.64,632.35
139,1125,-33.95,4.94,9.75,-2.62,3.49,5.04,1.38,3.28,1.05,638.06
140,1128,-44.65,0.17,6.27,1.35,4.25,5.07,1.11,3.13,0.58,642.88
141,1131,-44.41,2.41,7.40,-28.73,1.47,2.76,1.56,2.86,1.13,648.43
142,1126,-32.23,1.98,6.59,-34.98,3.13,5.12,1.24,3.16,0.57,653.40
143,1124,-33.16,1.59,5.96,-34.76,2.50,2.89,1.54,3.45,0.61,659.00
144,1127,-41.28,2.85,6.64,-35.50,4.80,5.20,1.40,3.30,0.93,664.63
145,1125,-38.53,2.96,6.42,-40.32,4.73,5.15,1.17,3.09,0.58,669.48
146,1129,-33.44,5.05,7.33,-28.28,4.50,5.15,1.33,3.51,0.70,675.02
147,1132,-44.97,0.31,5.49,-33.61,2.29,2.84,1.40,3.40,1.00,680.82
148,1129,-34.55,2.94,6.23,-33.52,4.50,5.13,1.17,3.43,0.70,686.11
149,1124,-38.63,0.43,5.05,-23.77,2.24,2.71,1.75,3.51,0.66,692.03
150,1124,-43.07,2.80,7.49,-22.36,1.55,2.75,1.43,3.77,0.61,697.84
151,1126,-39.06,0.10,5.14,-35.66,2.00,2.82,1.27,3.29,1.05,703.44
152,1127,-43.71,2.47,6.28,-38.32,4.41,5.14,1.27,3.23,0.61,708.55
153,1130,-44.65,4.79,7.51,-26.43,1.71,2.70,1.87,3.13,0.58,714.13
