Gen,NbVert,T_Min,T_Avg,T_Max,V_Min,V_Avg,V_Max,T_mutat,T_eval,T_valid,T_total
0,1030,-43.38,-12.98,-5.91,-28.30,-7.96,-5.81,0.16,1.00,0.15,1.31
1,1064,-43.59,-11.00,-5.81,-26.70,-7.55,-5.64,1.06,1.02,0.16,3.55
2,1091,-42.75,-8.85,-3.15,-20.99,-7.24,-5.60,1.13,1.06,0.20,5.94
3,1095,-43.73,-9.65,-5.18,-17.61,-7.11,-3.82,1.58,0.89,0.21,8.61
4,1093,-35.37,-8.80,-4.85,-24.54,-6.89,-3.84,1.01,1.08,0.21,10.92
5,1080,-43.11,-8.06,-4.35,-38.70,-7.31,-4.35,1.29,0.99,0.24,13.45
6,1101,-38.01,-8.08,-2.77,-23.69,-6.05,-3.14,1.57,0.87,0.30,16.18
7,1100,-41.35,-7.88,-0.67,-32.03,-6.27,-3.19,1.42,1.00,0.25,18.85
8,1090,-43.30,-7.76,-3.37,-27.91,-5.03,-1.08,1.56,0.81,0.25,21.46
9,1095,-36.99,-8.26,-4.11,-24.19,-6.15,-4.14,1.45,1.01,0.25,24.17
10,1093,-42.01,-6.54,1.98,-32.59,-7.19,-3.87,1.27,1.04,0.24,26.73
11,1089,-38.48,-8.23,-1.20,-15.74,-5.73,-4.09,1.05,1.07,0.30,29.14
12,1086,-39.46,-7.20,-1.19,-20.20,-5.62,-1.52,1.13,1.15,0.25,31.67
13,1092,-43.92,-8.00,-2.40,-20.85,-4.70,-1.12,1.31,1.12,0.25,34.35
14,1100,-46.91,-9.58,-3.27,-12.42,-5.23,-3.46,1.60,0.90,0.26,37.11
15,1108,-37.21,-7.93,-3.86,-29.47,-5.45,-0.61,1.72,0.92,0.53,40.28
16,1095,-43.19,-7.28,-0.43,-22.33,-5.28,-3.05,1.48,1.43,0.31,43.51
17,1102,-44.02,-6.75,7.29,-39.34,-3.89,9.49,1.67,1.16,0.24,46.58
18,1094,-43.70,-8.48,3.74,-15.75,-4.97,0.47,1.61,0.90,0.34,49.43
