Gen,NbVert,T_Min,T_Avg,T_Max,V_Min,V_Avg,V_Max,T_mutat,T_eval,T_valid,T_total
0,1030,-43.38,-12.98,-5.91,-28.30,-7.96,-5.81,0.29,1.14,0.12,1.55
1,1064,-43.59,-11.00,-5.81,-26.70,-7.55,-5.64,1.06,1.09,0.17,3.87
2,1091,-42.75,-8.85,-3.15,-20.99,-7.24,-5.60,1.12,0.91,0.32,6.22
3,1095,-43.73,-9.65,-5.18,-17.61,-7.11,-3.82,1.57,1.16,0.28,9.23
4,1093,-35.37,-8.80,-4.85,-24.54,-6.89,-3.84,0.92,0.78,0.39,11.32
5,1080,-43.11,-8.06,-4.35,-38.70,-7.31,-4.35,1.20,0.75,0.40,13.67
6,1101,-38.01,-8.08,-2.77,-23.69,-6.05,-3.14,1.55,0.96,0.54,16.71
7,1100,-41.35,-7.88,-0.67,-32.03,-6.27,-3.19,1.28,1.39,0.33,19.71
8,1090,-43.30,-7.76,-3.37,-27.91,-5.03,-1.08,1.40,1.28,0.31,22.71
9,1095,-36.99,-8.26,-4.11,-24.19,-6.15,-4.14,1.49,1.12,0.31,25.64
10,1093,-42.01,-6.54,1.98,-32.59,-7.19,-3.87,1.15,1.48,0.26,28.54
11,1089,-38.48,-8.23,-1.20,-15.74,-5.73,-4.09,0.93,1.29,0.29,31.05
12,1086,-39.46,-7.20,-1.19,-20.20,-5.62,-1.52,0.93,1.39,0.34,33.72
13,1092,-43.92,-8.00,-2.40,-20.85,-4.70,-1.12,0.97,1.46,0.28,36.45
14,1100,-46.91,-9.58,-3.27,-12.42,-5.23,-3.46,1.30,1.50,0.31,39.57
15,1108,-37.21,-7.93,-3.86,-29.47,-5.45,-0.61,1.75,0.99,0.29,42.59
16,1095,-43.19,-7.28,-0.43,-22.33,-5.28,-3.05,1.80,0.94,0.25,45.58
17,1102,-44.02,-6.75,7.29,-39.34,-3.89,9.49,1.92,1.02,0.36,48.88
18,1094,-43.70,-8.48,3.74,-15.75,-4.97,0.47,1.35,0.98,0.50,51.71
19,1102,-43.19,-8.08,2.99,-24.52,-3.47,2.77,1.53,1.66,0.32,55.22
20,1109,-42.02,-8.08,2.79,-13.69,-4.07,2.39,1.35,1.48,0.33,58.38
21,1098,-41.58,-7.71,1.72,-36.60,-1.71,4.79,1.48,1.40,0.32,61.58
22,1091,-34.05,-6.64,1.47,-27.41,-1.02,4.73,1.41,1.41,0.33,64.73
23,1102,-43.39,-6.97,2.30,-22.83,-2.88,2.27,1.62,1.17,0.46,67.98
24,1108,-32.48,-6.62,1.33,-17.17,-2.69,2.22,1.53,1.71,0.61,71.83
25,1110,-36.70,-5.83,2.34,-15.08,-3.46,2.33,1.22,1.96,0.46,75.46
26,1099,-33.69,-4.77,2.22,-23.69,0.63,2.39,1.48,1.83,0.41,79.19
27,1100,-39.37,-5.43,2.51,-17.79,0.06,2.30,1.77,2.51,0.42,83.89
28,1095,-36.35,-3.74,4.76,-45.32,4.70,7.47,1.39,1.85,0.30,87.43
29,1103,-42.21,-4.61,3.57,-16.41,1.42,4.97,1.88,1.52,0.76,91.59
30,1104,-38.04,-2.50,5.03,-32.78,0.40,2.57,1.33,2.17,0.36,95.46
31,1101,-38.75,-4.13,3.37,-31.81,1.09,2.66,1.80,1.74,0.46,99.46
32,1109,-44.39,-0.56,7.41,-20.84,3.45,5.12,1.43,2.26,0.43,103.57
33,1116,-35.98,1.25,7.35,-13.08,5.80,7.33,1.80,1.92,0.54,107.84
34,1103,-43.12,-2.18,5.45,-15.76,1.41,2.59,1.43,2.08,0.49,111.84
35,1110,-38.09,1.79,7.35,-28.90,2.90,4.90,1.38,2.19,0.35,115.76
36,1109,-42.49,-1.79,4.91,-34.46,-0.95,4.58,1.91,1.83,0.85,120.35
37,1106,-44.77,-2.40,5.02,-32.77,-0.52,2.40,1.43,2.36,0.49,124.63
38,1122,-38.22,-1.37,4.77,-28.94,-0.37,2.15,1.62,2.32,0.43,129.00
39,1109,-41.19,0.38,5.97,-30.26,1.09,2.69,1.20,2.40,0.49,133.08
40,1113,-42.35,0.89,6.03,-30.96,0.93,2.68,1.71,2.48,0.44,137.72
41,1121,-35.60,-2.20,4.10,-27.71,-1.07,2.31,1.33,2.66,0.48,142.19
42,1106,-39.58,2.78,7.48,-21.95,1.10,4.77,2.13,2.11,0.83,147.27
43,1120,-40.82,-2.36,4.99,-9.52,1.75,2.70,1.67,2.58,0.65,152.18
44,1114,-41.44,-1.48,5.09,-23.64,6.44,7.39,1.69,2.84,0.47,157.17
45,1110,-36.64,3.29,7.36,-8.20,1.71,2.61,1.97,2.23,0.93,162.30
46,1110,-40.73,-1.46,5.30,-15.75,0.24,2.13,1.10,2.72,0.59,166.71
47,1106,-33.91,0.30,5.84,-24.15,2.02,4.97,1.60,2.33,0.49,171.13
