Gen,NbVert,T_Min,T_Avg,T_Max,V_Min,V_Avg,V_Max,T_mutat,T_eval,T_valid,T_total
0,1030,-43.38,-12.98,-5.91,-28.30,-7.96,-5.81,0.15,0.50,0.12,0.77
1,1064,-43.59,-11.00,-5.81,-26.70,-7.55,-5.64,1.42,0.58,0.15,2.93
2,1091,-42.75,-8.85,-3.15,-20.99,-7.24,-5.60,1.54,0.58,0.18,5.23
3,1095,-43.73,-9.65,-5.18,-17.61,-7.11,-3.82,1.86,0.66,0.25,8.00
4,1093,-35.37,-8.80,-4.85,-24.54,-6.89,-3.84,1.25,0.61,0.20,10.06
5,1080,-43.11,-8.06,-4.35,-38.70,-7.31,-4.35,1.67,0.62,0.19,12.55
6,1101,-38.01,-8.08,-2.77,-23.69,-6.05,-3.14,1.90,0.61,0.35,15.42
7,1100,-41.35,-7.88,-0.67,-32.03,-6.27,-3.19,1.30,0.85,0.52,18.09
8,1090,-43.30,-7.76,-3.37,-27.91,-5.03,-1.08,1.33,1.23,0.25,20.90
9,1095,-36.99,-8.26,-4.11,-24.19,-6.15,-4.14,1.65,0.80,0.28,23.63
10,1093,-42.01,-6.54,1.98,-32.59,-7.19,-3.87,1.47,0.87,0.46,26.42
11,1089,-38.48,-8.23,-1.20,-15.74,-5.73,-4.09,0.96,1.04,0.46,28.89
12,1086,-39.46,-7.20,-1.19,-20.20,-5.62,-1.52,0.95,1.25,0.36,31.45
13,1092,-43.92,-8.00,-2.40,-20.85,-4.70,-1.12,0.95,1.25,0.27,33.92
14,1100,-46.91,-9.58,-3.27,-12.42,-5.23,-3.46,1.23,1.34,0.31,36.81
15,1108,-37.21,-7.93,-3.86,-29.47,-5.45,-0.61,1.51,0.98,0.29,39.58
16,1095,-43.19,-7.28,-0.43,-22.33,-5.28,-3.05,1.76,0.91,0.25,42.51
17,1102,-44.02,-6.75,7.29,-39.34,-3.89,9.49,1.82,0.95,0.47,45.75
18,1094,-43.70,-8.48,3.74,-15.75,-4.97,0.47,1.24,1.32,0.28,48.60
19,1102,-43.19,-8.08,2.99,-24.52,-3.47,2.77,1.52,1.19,0.28,51.59
20,1109,-42.02,-8.08,2.79,-13.69,-4.07,2.39,1.72,0.92,0.30,54.52
21,1098,-41.58,-7.71,1.72,-36.60,-1.71,4.79,1.55,0.98,0.37,57.42
22,1091,-34.05,-6.64,1.47,-27.41,-1.02,4.73,1.27,1.18,0.57,60.45
23,1102,-43.39,-6.97,2.30,-22.83,-2.88,2.27,1.16,1.62,0.33,63.56
24,1108,-32.48,-6.62,1.33,-17.17,-2.69,2.22,1.73,1.36,0.70,67.35
25,1110,-36.70,-5.83,2.34,-15.08,-3.46,2.33,1.18,1.77,0.42,70.71
26,1099,-33.69,-4.77,2.22,-23.69,0.63,2.39,1.58,1.45,0.37,74.11
27,1100,-39.37,-5.43,2.51,-17.79,0.06,2.30,1.60,2.06,0.41,78.19
28,1095,-36.35,-3.74,4.76,-45.32,4.70,7.47,1.41,1.57,0.41,81.57
29,1103,-42.21,-4.61,3.57,-16.41,1.42,4.97,1.52,1.92,0.41,85.41
30,1104,-38.04,-2.50,5.03,-32.78,0.40,2.57,1.37,1.74,0.44,88.97
31,1101,-38.75,-4.13,3.37,-31.81,1.09,2.66,1.60,2.27,0.40,93.23
32,1109,-44.39,-0.56,7.41,-20.84,3.45,5.12,1.60,1.85,0.38,97.05
33,1116,-35.98,1.25,7.35,-13.08,5.80,7.33,1.83,1.79,0.49,101.17
34,1103,-43.12,-2.18,5.45,-15.76,1.41,2.59,1.16,2.25,0.36,104.95
35,1110,-38.09,1.79,7.35,-28.90,2.90,4.90,1.81,1.72,0.67,109.15
36,1109,-42.49,-1.79,4.91,-34.46,-0.95,4.58,1.39,2.04,0.55,113.12
37,1106,-44.77,-2.40,5.02,-32.77,-0.52,2.40,1.61,2.35,0.42,117.50
38,1122,-38.22,-1.37,4.77,-28.94,-0.37,2.15,1.59,1.92,0.64,121.65
39,1109,-41.19,0.38,5.97,-30.26,1.09,2.69,1.22,2.09,0.60,125.56
40,1113,-42.35,0.89,6.03,-30.96,0.93,2.68,1.33,2.39,0.50,129.78
41,1121,-35.60,-2.20,4.10,-27.71,-1.07,2.31,1.64,2.87,0.49,134.78
42,1106,-39.58,2.78,7.48,-21.95,1.10,4.77,1.89,2.52,0.48,139.68
43,1120,-40.82,-2.36,4.99,-9.52,1.75,2.70,1.88,2.75,0.53,144.83
44,1114,-41.44,-1.48,5.09,-23.64,6.44,7.39,1.69,2.09,0.85,149.46
45,1110,-36.64,3.29,7.36,-8.20,1.71,2.61,1.60,2.28,0.64,153.98
46,1110,-40.73,-1.46,5.30,-15.75,0.24,2.13,1.41,2.77,0.46,158.62
47,1106,-33.91,0.30,5.84,-24.15,2.02,4.97,1.67,2.64,0.54,163.47
48,1103,-34.94,-2.06,5.01,-9.15,0.42,2.58,1.47,2.41,0.90,168.26
49,1107,-40.98,0.68,5.10,-2.02,2.13,2.81,1.24,2.53,0.53,172.55
50,1121,-34.97,-0.12,5.01,0.24,4.03,4.99,1.62,2.84,0.50,177.52
51,1119,-36.33,0.15,5.17,-5.33,1.36,2.68,1.47,2.15,0.94,182.08
52,1107,-41.41,1.29,5.15,1.28,4.75,5.16,1.25,2.58,0.47,186.37
53,1119,-42.40,-1.41,4.94,-4.07,-0.09,2.53,1.44,2.44,0.85,191.10
54,1116,-41.02,-0.85,4.46,-1.95,0.45,2.54,1.25,2.78,0.65,195.77
55,1115,-43.64,-1.47,3.88,0.04,3.91,4.94,1.48,2.75,0.53,200.53
56,1111,-35.47,0.17,5.00,-3.56,3.83,4.97,1.51,2.77,0.52,205.34
57,1111,-40.88,-1.76,4.45,-1.21,6.78,7.29,1.16,2.64,0.48,209.62
58,1116,-43.25,-1.44,4.09,-0.70,0.57,2.44,1.64,2.70,0.49,214.45
59,1111,-51.13,-0.82,3.82,-0.20,2.38,2.83,1.70,2.77,0.55,219.46
60,1114,-34.36,-1.22,3.65,2.96,4.70,5.12,1.43,2.42,0.92,224.24
61,1122,-38.86,-1.53,3.26,0.90,3.02,4.96,1.12,2.72,0.75,228.82
62,1114,-35.87,-0.19,4.92,-4.23,0.68,2.61,1.26,2.77,0.53,233.38
63,1109,-44.15,1.17,7.47,-5.61,1.06,2.65,1.57,2.12,0.68,237.75
64,1114,-34.95,2.72,7.41,-36.74,6.47,7.34,1.11,2.66,0.54,242.07
65,1106,-41.04,-0.63,5.13,-29.53,1.90,2.80,1.32,2.55,1.04,246.98
66,1108,-40.58,-1.10,5.85,-26.71,1.82,2.63,1.32,2.70,0.49,251.48
67,1113,-43.06,5.31,9.80,-20.63,-2.02,2.16,1.87,2.39,0.74,256.49
68,1106,-40.67,1.84,7.34,-30.69,-0.89,2.18,0.93,2.85,0.61,260.88
69,1104,-40.23,-0.59,6.23,-34.60,4.70,7.12,0.99,2.63,0.66,265.16
70,1107,-40.65,3.55,8.43,-15.46,2.04,2.76,1.59,2.76,0.45,269.95
71,1108,-37.54,1.84,7.33,-2.77,1.78,2.66,1.33,2.63,0.59,274.51
72,1105,-34.35,0.08,6.43,1.88,4.11,4.97,1.40,2.84,0.85,279.60
73,1100,-34.96,2.21,6.58,-13.53,6.91,7.51,1.14,2.81,0.48,284.03
74,1115,-36.44,1.15,6.44,-8.71,1.98,2.73,1.39,3.11,0.60,289.13
75,1115,-42.43,-0.04,5.63,-7.40,4.79,5.21,1.64,2.79,0.84,294.40
76,1114,-39.73,4.17,7.47,-20.22,1.94,2.52,1.21,2.86,0.58,299.05
77,1115,-40.48,4.11,7.40,-33.22,6.88,7.46,1.48,2.99,0.50,304.02
78,1121,-40.14,-1.41,5.70,-34.61,4.58,5.15,1.41,3.37,0.95,309.75
79,1115,-34.24,-2.55,4.50,-20.41,2.29,2.64,0.98,3.75,0.65,315.13
80,1126,-35.78,-1.29,5.11,-35.75,2.10,2.70,1.24,3.52,0.61,320.50
81,1113,-40.31,-0.78,5.83,-36.43,2.30,2.80,1.17,3.19,0.83,325.69
82,1130,-40.13,0.27,5.01,-42.06,2.43,2.87,1.19,3.09,0.61,330.57
83,1115,-42.97,2.38,6.29,4.69,7.06,7.35,1.64,2.92,0.58,335.72
84,1121,-43.71,-0.06,3.88,1.17,2.96,3.09,1.31,3.24,1.08,341.35
85,1118,-36.20,3.09,7.35,1.23,2.53,2.82,1.33,3.50,0.88,347.06
